,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,Term Descr,Crse ID,Crse Offer Nbr,Session Code,Associated Class,Subject,Subject Descr,Catalog Nbr,Class Nbr,Class Section,Combined Section,Course Title Long,CRAS Crse Component,Section Enrl Cnt,Section Avg Wkly Mtg Hrs,Section Dist Hrs,Units Minimum,Units Maximum,DeptID (Class),Dept Descr (Class),Class Acad Group,Class Acad Group Descrshort,Class Mtg Nbr,GEO_Instr_IDs,Class Instr Name,CRAS Contact Percent,Instr Appor Dist Hrs,Instr Appor Wkly Mtg Hrs,Appor Student Credit Hours,Class Instr Appt DeptID,Appt Dept Descr,Appt Dept Grp,EG Rank IPEDS,EG Rank IPEDS Descr,Acad Rank Title Mod Descrshort,Tenure Status,Tenure Status Descr,Jobcode,Jobcode Descr
2430,Spring 2023,001396,1,1,212,EECS,Elec Engin & Computer Sci,995,53547,212, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Ying,Lei",100,4.00,0.0,4.00,216100,COE EECS - ECE Division,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001418,1,1,10,MECHENG,Mechanical Engineering,995,53720,010, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,222500,Mech Eng & Applied Mech Dept,ENG,Eng,1,,"Capecelatro,Jesse Alden",100,4.00,0.0,4.00,222500,Mechanical Engineering,COLLEGE_ENGINEERING,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2430,Spring 2023,001435,1,1,25,NERS,Nuclear Engin & Radiolog Sci,995,50845,025, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,227000,Nuclear Engr & Radiological Sc,ENG,Eng,1,,"He,Zhong",100,4.00,0.0,4.00,227000,Nuclear Eng & Radiological Sci,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001435,1,1,35,NERS,Nuclear Engin & Radiolog Sci,995,53561,035, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,227000,Nuclear Engr & Radiological Sc,ENG,Eng,1,,"Pozzi,Sara A",100,4.00,0.0,4.00,227000,Nuclear Eng & Radiological Sci,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001477,1,1,64,SI,Information,995,53538,064, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,415000,School of Information,INF,Info,1,,"Krupka,Erin Lea",100,4.00,0.0,4.00,415000,School of Information,SCHOOL_INFORMATION,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2430,Spring 2023,001482,2,1,1,WGS,Women's and Gender Studies,240,52325,101,C,Int Womn Gndr Stdy,LEC,24,3.0,3.00,3.00,3.00,188700,Women's Studies Department,LSA,L S A,1,,"Simmons,LaKisha Michelle",100,3.00,3.0,72.00,188700,LSA Women's and Gender Studies,COLLEGE_OF_LSA,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2430,Spring 2023,001506,1,1,1,ANTHRCUL,"Anthropology,Cultural",101,52412,101, ,Intro to Anthro,LEC,29,4.0,4.00,4.00,4.00,172000,Anthropology Department,LSA,L S A,1,,"Chivens,Thomas H",100,4.00,4.0,116.00,172000,LSA Anthropology,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2430,Spring 2023,001516,2,1,1,LING,Linguistics,370,53455,101,C,Lang&Discrim,LEC,27,3.0,3.00,3.00,3.00,181200,Department of Linguistics,LSA,L S A,1,62414804,"Burgess,Danielle",100,3.00,3.0,81.00,181200,LSA Linguistics,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001541,1,1,1,BIOLOGY,Biology,305,50179,101, ,Genetics,LEC,34,3.0,2.67,4.00,4.00,188900,Biology Department,LSA,L S A,1,,"Haenfler,Jill Marie",100,2.67,3.0,90.78,189000,LSA Molec./Cell./Develop. Bio,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2430,Spring 2023,001541,1,1,1,BIOLOGY,Biology,305,50180,103, ,Genetics,DIS,24,1.5,1.33,4.00,4.00,188900,Biology Department,LSA,L S A,1,48577579,"Funk,Matthew",100,1.33,1.5,31.92,188900,LSA Biology - Undergraduate,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001541,1,1,1,BIOLOGY,Biology,305,50181,105, ,Genetics,DIS,10,1.5,1.33,4.00,4.00,188900,Biology Department,LSA,L S A,1,48577579,"Funk,Matthew",100,1.33,1.5,13.30,188900,LSA Biology - Undergraduate,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001555,1,1,32,CHEM,Chemistry,399,53564,032, ,Ugrad Res Chem,IND,1,0.0,3.00,1.00,4.00,173500,Chemistry Department,LSA,L S A,1,,"Keane,Sarah",100,3.00,0.0,3.00,173500,LSA Chemistry,COLLEGE_OF_LSA,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2430,Spring 2023,001555,1,1,210,CHEM,Chemistry,399,53715,210, ,Ugrad Res Chem,IND,1,0.0,1.00,1.00,4.00,173500,Chemistry Department,LSA,L S A,1,,"Narayan,Alison Rae Hardin",100,1.00,0.0,1.00,500100,Life Sciences Institute-Admin,LIFE_SCIENCES_INST,2,Associate Professor,Research,NA,Not Applicable,129520,RESEARCH ASSOCIATE PROFESSOR
2430,Spring 2023,001558,1,1,69,CHEM,Chemistry,995,53406,069, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,173500,Chemistry Department,LSA,L S A,1,,"Bridwell-Rabb,Jennifer Diane",100,4.00,0.0,4.00,173500,LSA Chemistry,COLLEGE_OF_LSA,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2430,Spring 2023,001594,1,1,24,COMM,Communication Studies,995,53510,024, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,188300,Communication and Media,LSA,L S A,1,,"Pasek,Josh",100,4.00,0.0,4.00,188300,LSA Communication and Media,COLLEGE_OF_LSA,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2430,Spring 2023,001602,1,1,2,ECON,Economics,101,53272,200, ,Principles Econ I,LEC,39,3.0,3.00,3.00,3.00,175000,Economics Department,LSA,L S A,1,,"Stevenson,Adam",100,3.00,3.0,117.00,175000,LSA Economics,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2430,Spring 2023,001604,1,1,1,ECON,Economics,402,52744,101, ,Intermed Macro Thry,LEC,26,3.0,3.00,4.00,4.00,175000,Economics Department,LSA,L S A,1,,"Zamulin,Oleg",100,3.00,3.0,78.00,175000,LSA Economics,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202860,LEO Lecturer III
2430,Spring 2023,001604,1,1,1,ECON,Economics,402,52745,102, ,Intermed Macro Thry,DIS,26,1.0,1.00,4.00,4.00,175000,Economics Department,LSA,L S A,1,53155103,"O'Flaherty,Kelsey Joseph",100,1.00,1.0,26.00,175000,LSA Economics,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001605,1,1,135,ECON,Economics,499,53557,135, ,Individual Research,IND,1,0.0,1.00,1.00,4.00,175000,Economics Department,LSA,L S A,1,,"Dudek,Maciej Konrad",100,1.00,0.0,1.00,175000,LSA Economics,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202820,LEO Lecturer I
2430,Spring 2023,001612,1,1,2,ENGLISH,English Lang & Literature,125,50229,102, ,Writing&Academic Inq,REC,6,3.0,4.00,4.00,4.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Tessier,Randall L",100,4.00,3.0,24.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001613,1,1,1,ENGLISH,English Lang & Literature,223,50230,101, ,Creative Writing,REC,19,3.0,3.00,3.00,3.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Townsend Gides,Jacinda",100,3.00,3.0,57.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202860,LEO Lecturer III
2430,Spring 2023,001620,1,1,1,ENGLISH,English Lang & Literature,317,52935,101, ,Literature&Culture,LEC,38,3.0,3.00,3.00,3.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Pinto,James",100,3.00,3.0,114.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001621,1,1,1,ENGLISH,English Lang & Literature,325,50235,101, ,Art of the Essay,SEM,20,3.0,3.00,3.00,3.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Swanson,Fritz Garner",100,3.00,3.0,60.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001621,1,1,2,ENGLISH,English Lang & Literature,325,50236,102, ,Art of the Essay,SEM,12,3.0,3.00,3.00,3.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Kupetz,Joshua",100,3.00,3.0,36.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001621,1,1,3,ENGLISH,English Lang & Literature,325,50237,103, ,Art of the Essay,SEM,9,3.0,3.00,3.00,3.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Holland,Jonathan",100,3.00,3.0,27.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202820,LEO Lecturer I
2430,Spring 2023,001621,1,1,4,ENGLISH,English Lang & Literature,325,50238,104, ,Art of the Essay,SEM,20,3.0,3.00,3.00,3.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Delp,Jaimien Elmasian",100,3.00,3.0,60.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001633,1,1,1,ENGLISH,English Lang & Literature,473,52931,101, ,Topics American Lit,REC,38,3.0,3.00,3.00,3.00,175500,English Language & Lit Dept,LSA,L S A,1,,"Pinto,James",100,3.00,3.0,114.00,175500,LSA English Language & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001654,1,1,600,FRENCH,French,230,53018,600, ,Intensive 2nd Year,REC,10,8.0,8.00,8.00,8.00,186500,Romance Languages Department,LSA,L S A,1,,"VanDoren,Helen M",100,8.00,8.0,80.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001654,1,1,601,FRENCH,French,230,53431,601, ,Intensive 2nd Year,REC,11,8.0,8.00,8.00,8.00,186500,Romance Languages Department,LSA,L S A,1,,"Sullivan,Lorrel L",100,8.00,8.0,88.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2430,Spring 2023,001655,1,1,1,FRENCH,French,232,50248,101, ,Second Year,REC,10,4.0,4.00,4.00,4.00,186500,Romance Languages Department,LSA,L S A,1,,"Gordon,Jennifer A",100,4.00,4.0,40.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001655,1,1,602,FRENCH,French,232,53030,602, ,Second Year,REC,16,4.0,4.00,4.00,4.00,186500,Romance Languages Department,LSA,L S A,1,,"Ames,Alan",100,4.00,4.0,64.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001695,1,1,53,GREEK,Greek,599,53684,053, ,Directed Reading,IND,2,0.0,3.00,1.00,4.00,174000,Classical Studies Department,LSA,L S A,1,,"Ahbel-Rappe  she-her,Sara L",100,3.00,0.0,6.00,174000,LSA Classical Studies,COLLEGE_OF_LSA,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001730,1,1,1,HISTART,History of Art,394,53376,101,C,Special Topics HU,LEC,12,3.0,3.00,3.00,3.00,179500,History Of Art Department,LSA,L S A,1,13523304,"Laplaca,Julia",100,3.00,3.0,36.00,179500,LSA History of Art,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001730,1,1,2,HISTART,History of Art,394,53449,102, ,Special Topics HU,LEC,6,3.0,3.00,3.00,3.00,179500,History Of Art Department,LSA,L S A,1,20003872,"Nemechek,Caroline",100,3.00,3.0,18.00,179500,LSA History of Art,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001774,1,1,14,LATIN,Latin,599,53683,014, ,Supv Read Lat Lit,IND,2,0.0,3.00,1.00,4.00,174000,Classical Studies Department,LSA,L S A,1,,"Fielding,Ian",100,3.00,0.0,6.00,174000,LSA Classical Studies,COLLEGE_OF_LSA,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2430,Spring 2023,001794,1,1,2,MATH,Mathematics,115,50299,102, ,Calculus I,LEC,12,4.0,4.00,4.00,4.00,183000,Mathematics Department,LSA,L S A,1,,"Keogh,Michael Kevin",100,4.00,4.0,48.00,183000,LSA Mathematics,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202820,LEO Lecturer I
2430,Spring 2023,001795,1,1,1,MATH,Mathematics,116,52861,101, ,Calculus II,LEC,16,4.0,4.00,4.00,4.00,183000,Mathematics Department,LSA,L S A,1,68288360,"Guzman,Jonathan Ricardo",100,4.00,4.0,64.00,183000,LSA Mathematics,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001797,1,1,1,MATH,Mathematics,215,50301,101, ,Multiv & Vector Calc,LEC,11,3.0,3.00,4.00,4.00,183000,Mathematics Department,LSA,L S A,1,,"Weiss,Michael K",100,3.00,3.0,33.00,183000,LSA Mathematics,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001797,1,1,1,MATH,Mathematics,215,50302,102, ,Multiv & Vector Calc,LAB,11,1.0,1.00,4.00,4.00,183000,Mathematics Department,LSA,L S A,1,51479194,"Della Pella,Anthony Thomas",100,1.00,1.0,11.00,183000,LSA Mathematics,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001798,1,1,1,MATH,Mathematics,216,50305,101, ,Intro Diff Equat,LEC,13,3.0,3.00,4.00,4.00,183000,Mathematics Department,LSA,L S A,1,,"Blackstone,Elliot",100,3.00,3.0,39.00,183000,LSA Mathematics,COLLEGE_OF_LSA,3,Assistant Professor, ,NOT,Non Tenure Not On Track,202001,Asst Professor
2430,Spring 2023,001798,1,1,1,MATH,Mathematics,216,50306,102, ,Intro Diff Equat,LAB,13,1.0,1.00,4.00,4.00,183000,Mathematics Department,LSA,L S A,2,93054044,"Loo,Yu Jun",100,1.00,1.0,13.00,183000,LSA Mathematics,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001803,1,1,1,MATH,Mathematics,425,50308,101,C,Intro Probabil,LEC,13,3.0,3.00,3.00,3.00,183000,Mathematics Department,LSA,L S A,1,,"Feng,Qi",100,3.00,3.0,39.00,183000,LSA Mathematics,COLLEGE_OF_LSA,3,Assistant Professor, ,NOT,Non Tenure Not On Track,202001,Asst Professor
2430,Spring 2023,001803,1,1,2,MATH,Mathematics,425,51806,102,C,Intro Probabil,LEC,19,3.0,3.00,3.00,3.00,183000,Mathematics Department,LSA,L S A,1,,"Kara,Ali",100,3.00,3.0,57.00,183000,LSA Mathematics,COLLEGE_OF_LSA,3,Assistant Professor, ,NOT,Non Tenure Not On Track,202001,Asst Professor
2430,Spring 2023,001814,1,1,247,MATH,Mathematics,995,53681,247, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,183000,Mathematics Department,LSA,L S A,1,,"Cohen,Asaf",100,4.00,0.0,4.00,183000,LSA Mathematics,COLLEGE_OF_LSA,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2430,Spring 2023,001831,1,1,1,PHIL,Philosophy,361,53460,101, ,Ethics,LEC,11,3.0,3.00,3.00,3.00,184000,Philosophy Department,LSA,L S A,1,74967731,"Ansari,Abdul",100,3.00,3.0,33.00,184000,LSA Philosophy,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001846,1,1,204,PHYSICS,Physics,995,53508,204, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,184500,Physics Department,LSA,L S A,1,,"Huterer,Dragan",100,4.00,0.0,4.00,184500,LSA Physics,COLLEGE_OF_LSA,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001923,1,1,1,SOC,Sociology,100,52358,101, ,Intro to Sociology,LEC,17,3.0,3.00,3.00,3.00,187500,Sociology Department,LSA,L S A,1,,"Sullivan,Matthew Brian",100,3.00,3.0,51.00,187500,LSA Sociology,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001927,1,1,1,SOC,Sociology,210,51854,101, ,SocSci Statistics,LEC,7,3.0,3.00,3.00,3.00,187500,Sociology Department,LSA,L S A,1,,"Ybarra,Michael Gabriel",100,3.00,3.0,21.00,187500,LSA Sociology,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001931,1,1,80,SOC,Sociology,395,53725,080, ,Independent Study,IND,2,0.0,1.00,1.00,4.00,187500,Sociology Department,LSA,L S A,1,,"Cech,Erin Ann",100,1.00,0.0,2.00,187500,LSA Sociology,COLLEGE_OF_LSA,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2430,Spring 2023,001943,1,1,1,SPANISH,Spanish,230,50357,101, ,Intensive 2nd Year,REC,10,8.0,8.00,8.00,8.00,186500,Romance Languages Department,LSA,L S A,1,,"Primorac,Kristina",50,4.00,4.0,40.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2430,Spring 2023,001943,1,1,1,SPANISH,Spanish,230,50357,101, ,Intensive 2nd Year,REC,10,8.0,8.00,8.00,8.00,186500,Romance Languages Department,LSA,L S A,1,,"Stiasny Carruthers,Andrea",50,4.00,4.0,40.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001943,1,1,600,SPANISH,Spanish,230,53245,600, ,Intensive 2nd Year,REC,13,8.0,8.00,8.00,8.00,186500,Romance Languages Department,LSA,L S A,1,,"Orecchio,Michelle R",100,8.00,8.0,104.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2430,Spring 2023,001943,1,1,601,SPANISH,Spanish,230,53031,601, ,Intensive 2nd Year,REC,15,8.0,8.00,8.00,8.00,186500,Romance Languages Department,LSA,L S A,1,,"Montes,Lisa Britt",100,8.00,8.0,120.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001943,1,1,602,SPANISH,Spanish,230,53244,602, ,Intensive 2nd Year,REC,14,8.0,8.00,8.00,8.00,186500,Romance Languages Department,LSA,L S A,1,,"Perez,Nancy L",100,8.00,8.0,112.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001944,1,1,1,SPANISH,Spanish,232,50360,101, ,Second Year Span,REC,15,4.0,4.00,4.00,4.00,186500,Romance Languages Department,LSA,L S A,1,,"Iglesias Garrido,Carla Maria",100,4.00,4.0,60.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202860,LEO Lecturer III
2430,Spring 2023,001944,1,1,2,SPANISH,Spanish,232,50361,102, ,Second Year Span,REC,14,4.0,4.00,4.00,4.00,186500,Romance Languages Department,LSA,L S A,1,,"De La Torre,Mariela Isabel",100,4.00,4.0,56.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001944,1,1,3,SPANISH,Spanish,232,52967,103, ,Second Year Span,REC,16,4.0,4.00,4.00,4.00,186500,Romance Languages Department,LSA,L S A,1,,"Ramos Silgado,Yeray",100,4.00,4.0,64.00,186500,LSA Romance Languages & Lit.,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2430,Spring 2023,001957,1,1,1,STATS,Statistics,250,50603,101, ,Intr Stat&Data Anlys,LEC,117,2.9,2.90,4.00,4.00,188500,Statistics Department,LSA,L S A,1,,"Romero,Alicia",100,2.90,2.9,339.30,188500,LSA Statistics,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202860,LEO Lecturer III
2430,Spring 2023,001957,1,1,1,STATS,Statistics,250,50604,104, ,Intr Stat&Data Anlys,LAB,14,1.5,1.10,4.00,4.00,188500,Statistics Department,LSA,L S A,1,73200520,"Ellenbogen,Bret Noah",100,1.10,1.5,15.40,188500,LSA Statistics,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
2430,Spring 2023,001957,1,1,1,STATS,Statistics,250,50605,105, ,Intr Stat&Data Anlys,LAB,22,1.5,1.10,4.00,4.00,188500,Statistics Department,LSA,L S A,1,05609370,"Liang,Guanying",100,1.10,1.5,24.20,188500,LSA Statistics,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
