TERM,TERM_DESCRSHORT,CRN,SUBJECT,COURSE_NUMBR,SECTION_NUMBER,CRSE_DESCR,UM_MODALITY,SCHD_DESC,SECTION_ENROLLMENT,SECTION_CAP,SECTION_CREDITS,CREDITS_HIGH,CREDITS_LOW,CLASS_INST_ID,CLASS_INSTR_NAME,APPT_DEPT_DESCRIPTION,COLLEGE_SCHOOL,JOBCODE,JOBCODE_DESCRIPTION
202420,Winter 2024,22761,MTH,122,02,Calculus II,In Person,Lecture/Discussion,18,35,72,4,4,43106800,"Alfaro, Ricardo",Flint Mathematics,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,24083,MTH,306,01,Introduction to Data Science,In Person,Lecture/Discussion,18,35,54,3,3,43106800,"Alfaro, Ricardo",Flint Mathematics,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,24576,CIS,300,01,Enterprise Architecture,In Person,Lecture/Discussion,28,35,112,4,4,98510688,"Alhosban, Amal",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24803,CIT,401,99,Technology Internship,Independent Study,Field Work,4,5,11,3,1,98510688,"Alhosban, Amal",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24788,CSC,501,99,Graduate CSC Internship,Independent Study,Field Work,2,5,4,4,1,98510688,"Alhosban, Amal",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24726,CSC,591,99,Independent GR study in CSC,Independent Study,Study,10,10,38,4,1,98510688,"Alhosban, Amal",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24290,IES,361,01,Learn Sci & Engage Field Exp,In Person,Field Work,28,30,84,3,3,72469794,"Allen, Jenelle",Flint Education,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24291,IES,362,01,Fld WK: Addl Grade Band,In Person,Field Work,28,30,28,1,1,72469794,"Allen, Jenelle",Flint Education,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24294,IES,469,01,Student Teaching,In Person,Field Work,33,36,297,10,3,72469794,"Allen, Jenelle",Flint Education,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24625,CIT,480,01,Technology Capstone I,In Person,Lecture/Lab,11,35,44,4,4,79696076,"Allison, Mark",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24626,CIT,485,01,Technology Capstone II,In Person,Lecture/Lab,20,35,80,4,4,79696076,"Allison, Mark",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24661,PHY,374,01,Quantum Mechanics,In Person,Lecture/Lab,3,20,12,4,4,61880550,"Alsup, James",Flint Physics,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24819,PHY,391,99,Independent Study,Independent Study,Study,1,5,2,3,1,61880550,"Alsup, James",Flint Physics,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,23489,EGR,260,01,Mechanics Of Deformable Solids,In Person,Lecture/Discussion,13,30,52,4,4,50246183,"Aluko, Olanrewaju",Flint Engineering,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,22449,EGR,432,01,Manufacturing Processes,In Person,Lecture/Lab,13,30,52,4,4,50246183,"Aluko, Olanrewaju",Flint Engineering,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,21071,AMC,591,99,Thesis,Independent Study,Research,1,5,3,3,3,39624078,"Alvey, Jennifer","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24118,WGS,100,W1,Intro to WGS,Fully Online,Online/Web Based,31,30,93,3,3,39624078,"Alvey, Jennifer","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24337,PHS,306,W1,Overview of Disease Processes,Fully Online,Online/Web Based,24,30,24,1,1,09291569,"Amini, Reza",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,201500,ASSOC PROFESSOR
202420,Winter 2024,21611,PHS,490,01,Public Hlth Practice/Capstone,In Person,Field Work,2,5,6,3,3,09291569,"Amini, Reza",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,201500,ASSOC PROFESSOR
202420,Winter 2024,24708,PHS,502,M1,Overview of Disease Processes,Mixed Mode,Online/Web Based,2,30,2,1,1,09291569,"Amini, Reza",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,201500,ASSOC PROFESSOR
202420,Winter 2024,24338,PHS,502,W1,Overview of Disease Processes,Fully Online,Online/Web Based,9,30,9,1,1,09291569,"Amini, Reza",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,201500,ASSOC PROFESSOR
202420,Winter 2024,24068,PHL,338,W1,Phl Health Disease and Illness,Fully Online,Online/Web Based,26,30,78,3,3,31000486,"Anderson, Jami",Flint Philosophy,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24069,WGS,338,W1,Phl Health Disease and Illness,Fully Online,Online/Web Based,1,30,3,3,3,31000486,"Anderson, Jami",Flint Philosophy,Flint CASE,201000,PROFESSOR
202420,Winter 2024,23724,NUR,524,W1,MGT of Adult Acute/Chronic Prb,Fully Online,Online/Web Based,25,25,100,4,4,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24420,NUR,524,W4,MGT of Adult Acute/Chronic Prb,Fully Online,Online/Web Based,24,25,96,4,4,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23729,NUR,525,M1,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24853,NUR,525,M10,MGT of Adult Acute/Chronic Prb,Mixed Mode,Mixed Mode,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24854,NUR,525,M11,MGT of Adult Acute/Chronic Prb,Mixed Mode,Mixed Mode,9,8,36,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24855,NUR,525,M12,MGT of Adult Acute/Chronic Prb,Mixed Mode,Mixed Mode,9,8,36,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24856,NUR,525,M13,MGT of Adult Acute/Chronic Prb,Mixed Mode,Mixed Mode,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24857,NUR,525,M14,MGT of Adult Acute/Chronic Prb,Mixed Mode,Mixed Mode,9,8,36,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24858,NUR,525,M15,MGT of Adult Acute/Chronic Prb,Mixed Mode,Mixed Mode,7,8,28,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23730,NUR,525,M2,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23731,NUR,525,M3,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23842,NUR,525,M4,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23902,NUR,525,M5,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23734,NUR,525,M6,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,8,8,32,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23735,NUR,525,M7,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,7,8,28,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23737,NUR,525,M9,MGT of Adult Acute/Chronic Prb,Mixed Mode,Field Work,5,8,20,4,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24422,NUR,791,M2,Mental Health Practicum II,Mixed Mode,Field Work,11,10,33,4,3,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,23771,NUR,832,W1,Adv Practice Quality & Safely,Fully Online,Online/Web Based,19,25,38,2,2,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24868,NUR,912,W4,DNP Research Seminar V,Fully Online,Online/Web Based,1,1,1,4,1,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24754,NUR,920,M1,Special Topics Travel DNP,Mixed Mode,Online/Web Based,8,20,8,4,1,50996105,"Aplin-Snider, Christina",Flint Nursing,Flint Nursing,201500,ASSOC PROFESSOR
202420,Winter 2024,24682,ECE,468,W1,Fieldwork in Early Childhood,Fully Online,Internship,9,30,27,3,3,73366341,"Arakelian, Tamara",Flint Education,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24879,EGR,492,03,Advanced Topics in Engineering,In Person,Lecture/Discussion,1,35,4,4,1,08468460,"Arefifar, Seyed",Flint Engineering,Flint College of Innov. & Tech,202500,INSTRUCTOR
202420,Winter 2024,21238,PHL,101,W1,Intro to Philosophy,Fully Online,Online/Web Based,29,30,87,3,3,01256484,"Artis, Aderemi",Flint Philosophy,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24048,PHL,190,W1,Philosophy of Pop Culture,Fully Online,Online/Web Based,27,30,81,3,3,01256484,"Artis, Aderemi",Flint Philosophy,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24056,PHL,342,W1,Early Modern Philosophy,Fully Online,Online/Web Based,16,30,48,3,3,01256484,"Artis, Aderemi",Flint Philosophy,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24640,SWR,461,H1,Field Instruction II,Hyperflex,On Campus or Online,30,33,180,6,6,41710766,"Ashley, Ryan",Flint Social Work,Flint College Health Sciences,202780,LEO Adjunct Lecturer
202420,Winter 2024,20006,NSC,209,W1,Basic Nutrition for HCR Pract,Fully Online,Online/Web Based,63,70,189,3,3,18856294,"Athamanah, John",Flint Nursing,Flint Nursing,202840,LEO Lecturer II
202420,Winter 2024,24485,MKT,237,W1,Digital Marketing Principles,Fully Online,Online/Web Based,9,10,27,3,3,45063188,"Banerjee, Syagnik",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,20516,MKT,332,W1,Marketing Research,Fully Online,Online/Web Based,40,40,120,3,3,45063188,"Banerjee, Syagnik",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,24486,MKT,337,W1,Digital Marketing,Fully Online,Online/Web Based,23,35,69,3,3,45063188,"Banerjee, Syagnik",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,21965,MKT,338,W1,Consumer Behavior,Fully Online,Online/Web Based,36,45,108,3,3,45063188,"Banerjee, Syagnik",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,24368,EDR,541,W1,Assmnt-Bsd Lit Inst/Sec Clsrms,Fully Online,Online/Web Based,22,30,66,3,3,59476489,"Bartels, Jonathan",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,24380,SEC,347,01,Teachin ENG in Mddl & Sec Sch,In Person,Lecture/Discussion,11,30,33,3,3,59476489,"Bartels, Jonathan",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,24382,SEC,446,01,Writ Middle & 2nd Sch Teachers,In Person,Lecture/Discussion,12,30,36,3,3,59476489,"Bartels, Jonathan",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,24523,PTP,729,01,Musc Prac: Upper Quad,In Person,Lecture/Lab,23,24,69,3,3,29075540,"Bean, Ryan",Flint Physical Therapy,Flint College Health Sciences,201640,CLINICAL ASSOC PROF
202420,Winter 2024,24524,PTP,729,02,Musc Prac: Upper Quad,In Person,Lecture/Lab,24,24,72,3,3,29075540,"Bean, Ryan",Flint Physical Therapy,Flint College Health Sciences,201640,CLINICAL ASSOC PROF
202420,Winter 2024,24331,PSY,100,W5,Principles of Psychology,Fully Online,Online/Web Based,9,15,27,3,3,88839160,"Beddow, Michelle",Flint Psychology,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24846,PSY,100,W6,Principles of Psychology,Fully Online,Online/Web Based,17,15,51,3,3,88839160,"Beddow, Michelle",Flint Psychology,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24398,EDL,871,W1,Quantitative Rsch Mthd,Fully Online,Online/Web Based,6,30,18,3,3,51857203,"Bedell, Karen","Flint Education, Flint Psychology",Flint CASE,"202820, 202880","LEO Lecturer I, LEO Lecturer IV"
202420,Winter 2024,22408,PSY,322,W1,Basic Statistics & Probability,Fully Online,Online/Web Based,25,27,100,4,4,51857203,"Bedell, Karen","Flint Education, Flint Psychology",Flint CASE,"202820, 202880","LEO Lecturer I, LEO Lecturer IV"
202420,Winter 2024,22409,PSY,322,W2,Basic Statistics & Probability,Fully Online,Online/Web Based,24,27,96,4,4,51857203,"Bedell, Karen","Flint Education, Flint Psychology",Flint CASE,"202820, 202880","LEO Lecturer I, LEO Lecturer IV"
202420,Winter 2024,22410,PSY,330,W1,Advanced Statistics,Fully Online,Online/Web Based,13,15,13,1,1,51857203,"Bedell, Karen","Flint Education, Flint Psychology",Flint CASE,"202820, 202880","LEO Lecturer I, LEO Lecturer IV"
202420,Winter 2024,22427,PSY,400,W1,Advanced Topics in Psychology,Fully Online,Online/Web Based,22,24,88,4,4,51857203,"Bedell, Karen","Flint Education, Flint Psychology",Flint CASE,"202820, 202880","LEO Lecturer I, LEO Lecturer IV"
202420,Winter 2024,22432,PSY,401,W2,Advanced Research,Fully Online,Online/Web Based,16,16,64,4,4,51857203,"Bedell, Karen","Flint Education, Flint Psychology",Flint CASE,"202820, 202880","LEO Lecturer I, LEO Lecturer IV"
202420,Winter 2024,21469,PHS,467,W1,Health Information Management,Fully Online,Online/Web Based,29,30,87,3,3,27477101,"Beede, Brendon",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,22394,PSY,309,W1,Abnormal Psychology,Fully Online,Online/Web Based,29,30,87,3,3,82838144,"Bellamy, Allen",Flint Psychology,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,23872,PSY,313,W3,Developmental Psychology,Fully Online,Online/Web Based,30,30,90,3,3,82838144,"Bellamy, Allen",Flint Psychology,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,24071,PSY,313,W4,Developmental Psychology,Fully Online,Online/Web Based,29,30,87,3,3,82838144,"Bellamy, Allen",Flint Psychology,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,22415,PSY,365,W1,Indust & Organizational Psych,Fully Online,Online/Web Based,27,30,81,3,3,82838144,"Bellamy, Allen",Flint Psychology,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,22251,CRJ,185,W1,Intro to the Criminal Justice,Fully Online,Online/Web Based,30,30,90,3,3,51710940,"Bender, Kimberly","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24119,CRJ,288,M1,Correctional Systems/Practices,Mixed Mode,Mixed Mode,30,40,90,3,3,51710940,"Bender, Kimberly","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24890,CRJ,391,99,Directed Reading/Research CRJ,Independent Study,Study,1,5,3,3,1,51710940,"Bender, Kimberly","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,23982,CRJ,450,M1,Senior Seminar In CRJ,Mixed Mode,Mixed Mode,16,15,48,3,3,51710940,"Bender, Kimberly","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,22687,NUR,435,01,Synthesis of NUR Knwlge & Prac,In Person,Lecture/Discussion,10,10,60,6,6,75658210,"Beres, Katherine",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23170,NUR,435,02,Synthesis of NUR Knwlge & Prac,In Person,Lecture/Discussion,10,10,60,6,6,75658210,"Beres, Katherine",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23171,NUR,435,03,Synthesis of NUR Knwlge & Prac,In Person,Lecture/Discussion,8,8,48,6,6,75658210,"Beres, Katherine",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23172,NUR,435,04,Synthesis of NUR Knwlge & Prac,In Person,Lecture/Discussion,10,10,60,6,6,75658210,"Beres, Katherine",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23173,NUR,435,05,Synthesis of NUR Knwlge & Prac,In Person,Lecture/Discussion,9,10,54,6,6,75658210,"Beres, Katherine",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,24562,NUR,435,06,Synthesis of NUR Knwlge & Prac,In Person,Lecture/Discussion,7,8,42,6,6,75658210,"Beres, Katherine",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,22895,COM,338,W3,Communications in Business,Fully Online,Online/Web Based,19,24,57,3,3,59376122,"Bernstein, Stephen",Flint English,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24301,ENG,202,W1,Intro to Fiction,Fully Online,Online/Web Based,29,30,87,3,3,59376122,"Bernstein, Stephen",Flint English,Flint CASE,201000,PROFESSOR
202420,Winter 2024,22894,ENG,338,W3,Communications in Business,Fully Online,Online/Web Based,5,24,15,3,3,59376122,"Bernstein, Stephen",Flint English,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24104,ANT,220,01,Ethnographic Methods,In Person,Lecture/Discussion,8,30,24,3,3,49591959,"Birchok, Daniel","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24674,ANT,398,01,Special Topics in ANT,In Person,Lecture/Discussion,6,30,18,3,3,49591959,"Birchok, Daniel","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24675,ANT,398,IT,Special Topics in ANT,In Person,Lecture/Discussion,15,30,45,3,3,49591959,"Birchok, Daniel","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24594,CSC,275,01,Prob Solving & Programming II,In Person,Lecture/Lab,21,35,84,4,4,12675692,"Bisgin, Halil",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24604,CSC,487,01,Data Mining: Algorithms & Appl,In Person,Lecture/Lab,6,35,18,3,3,12675692,"Bisgin, Halil",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24618,CSC,587,01,Advanced Data Mining,In Person,Lecture/Lab,2,35,8,4,4,12675692,"Bisgin, Halil",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24619,CSC,587,W1,Advanced Data Mining,Fully Online,Online/Web Based,9,35,36,4,4,12675692,"Bisgin, Halil",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24813,CSC,591,97,Independent GR study in CSC,Independent Study,Study,2,5,3,4,1,12675692,"Bisgin, Halil",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24814,CSC,596,99,Master's Thesis II,Independent Study,Research,1,5,4,4,4,12675692,"Bisgin, Halil",Flint Computer Science,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24059,POL,120,01,U.S. Nat Govt & Politics,In Person,Lecture/Discussion,29,30,87,3,3,66691516,"Bitzarakis, Evan",Flint Political Science,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,23913,PTP,761,01,Evidence Based Practice,In Person,Lecture/Discussion,23,24,23,1,1,35769249,"Blackwood, Jennifer",Flint Physical Therapy,Flint College Health Sciences,201000,PROFESSOR
202420,Winter 2024,23914,PTP,761,02,Evidence Based Practice,In Person,Lecture/Discussion,24,24,24,1,1,35769249,"Blackwood, Jennifer",Flint Physical Therapy,Flint College Health Sciences,201000,PROFESSOR
202420,Winter 2024,24647,PTP,990,02,Dissertation: Pre-Candidacy,In Person,Lecture/Discussion,1,1,1,3,1,35769249,"Blackwood, Jennifer",Flint Physical Therapy,Flint College Health Sciences,201000,PROFESSOR
202420,Winter 2024,23925,EDN,100,01,Intro to Special Education,In Person,Lecture/Discussion,29,30,87,3,3,83482227,"Blakey, Linda",Flint Education,Flint CASE,202780,LEO Adjunct Lecturer
202420,Winter 2024,24477,MGT,341,W1,Human Behavior in Organization,Fully Online,Online/Web Based,11,13,33,3,3,56057358,"Blume, Brian",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,24478,MGT,341,W2,Human Behavior in Organization,Fully Online,Online/Web Based,34,35,102,3,3,56057358,"Blume, Brian",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,24511,MGT,449,F1,Leadershp & Chng Mngmt,Hyperflex,Online/Web Based,25,35,75,3,3,56057358,"Blume, Brian",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,24512,MGT,541,F1,Organizational Behavior,Hyperflex,Online/Web Based,31,40,93,3,3,56057358,"Blume, Brian",Flint School of Management,Flint Management Dean,201000,PROFESSOR
202420,Winter 2024,24207,ENG,111,01,College Rhetoric,In Person,Lecture/Discussion,22,24,66,3,3,44034402,"Blumner, Jacob",Flint English,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24218,ENG,340,01,Intro to Composition Theory,In Person,Lecture/Discussion,15,24,45,3,3,44034402,"Blumner, Jacob",Flint English,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24862,ENG,567,IS,Survey of Modern Comp Theory,Independent Study,Lecture/Discussion,1,1,3,3,3,44034402,"Blumner, Jacob",Flint English,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24738,ADM,578,W1,Advanced Event Planning,Fully Online,Online/Web Based,11,24,33,3,3,08986072,"Boes, Taylor",Flint MA-Art Administration,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24427,ACC,201,F1,Prin of Financial Accounting,Hyperflex,Flex Mode,30,45,90,3,3,15216400,"Bohanon, Michael",Flint School of Management,Flint Management Dean,202860,LEO Lecturer III
202420,Winter 2024,24430,ACC,202,F1,Prin of Managerial Accounting,Hyperflex,Flex Mode,36,45,108,3,3,15216400,"Bohanon, Michael",Flint School of Management,Flint Management Dean,202860,LEO Lecturer III
202420,Winter 2024,24436,ACC,423,F1,Fundamentals of Gov/Fund Acct,Hyperflex,Flex Mode,5,45,15,3,3,15216400,"Bohanon, Michael",Flint School of Management,Flint Management Dean,202860,LEO Lecturer III
202420,Winter 2024,24691,ACC,521,W1,Accounting for Managers,Fully Online,Online/Web Based,32,45,96,3,3,15216400,"Bohanon, Michael",Flint School of Management,Flint Management Dean,202860,LEO Lecturer III
202420,Winter 2024,24437,ACC,580,F1,Adv Gov't & Nonprofit Acc,Hyperflex,Flex Mode,27,45,81,3,3,15216400,"Bohanon, Michael",Flint School of Management,Flint Management Dean,202860,LEO Lecturer III
202420,Winter 2024,24843,FIN,269,W2,Personal Finance,Fully Online,Online/Web Based,34,45,102,3,3,15216400,"Bohanon, Michael",Flint School of Management,Flint Management Dean,202860,LEO Lecturer III
202420,Winter 2024,22749,MTH,120,01,Pre-Calculus Mathematics,In Person,Lecture/Discussion,27,35,108,4,4,72668889,"Boomer, Mary",Flint Mathematics,Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24208,ENG,111,02,College Rhetoric,In Person,Lecture/Discussion,24,24,72,3,3,71605264,"Booms, Stephanie",Flint English,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,23530,ENG,111,03,College Rhetoric,In Person,Lecture/Discussion,24,24,72,3,3,71605264,"Booms, Stephanie",Flint English,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24822,ENG,112,09,Critical Writing & Reading,In Person,Lecture/Discussion,22,24,66,3,3,71605264,"Booms, Stephanie",Flint English,Flint CASE,202840,LEO Lecturer II
